"region","freq"
"alabama",31
"alberta",20
"arizona",31
"arkansas",38
"british columbia",2
"california",257
"colorado",54
"connecticut",26
"delaware",13
"district of columbia",11
"florida",97
"georgia",57
"idaho",7
"illinois",81
"indiana",49
"iowa",16
"kansas",16
"kentucky",46
"louisiana",70
"maine",6
"manitoba",11
"maryland",56
"massachusetts",35
"mexico",1
"michigan",41
"minnesota",24
"mississippi",18
"missouri",35
"montana",1
"nebraska",9
"nevada",22
"new hampshire",5
"new jersey",50
"new mexico",10
"new york",146
"north carolina",106
"north dakota",4
"nova scotia",1
"nuevo león",5
"ohio",162
"oklahoma",48
"ontario",40
"oregon",24
"pennsylvania",81
"quebec",6
"rhode island",9
"saskatchewan",3
"south carolina",27
"south dakota",2
"south lower california",1
"state not found",162
"tennessee",70
"texas",263
"utah",25
"veracruz",1
"vermont",2
"virginia",62
"washington",42
"west virginia",25
"wisconsin",18
"wyoming",3
"alaska",0
"hawaii",0
