"region","freq"
"alabama",14
"alberta",15
"arizona",14
"arkansas",21
"british columbia",1
"california",152
"colorado",33
"connecticut",16
"delaware",7
"district of columbia",7
"florida",50
"georgia",33
"idaho",3
"illinois",45
"indiana",28
"iowa",5
"kansas",11
"kentucky",24
"louisiana",36
"manitoba",8
"maryland",32
"massachusetts",20
"mexico",1
"michigan",23
"minnesota",12
"mississippi",8
"missouri",16
"montana",1
"nebraska",2
"nevada",9
"new hampshire",4
"new jersey",24
"new mexico",8
"new york",76
"north carolina",48
"north dakota",2
"nova scotia",1
"ohio",102
"oklahoma",33
"ontario",22
"oregon",11
"pennsylvania",46
"quebec",6
"rhode island",5
"saskatchewan",2
"south carolina",17
"south lower california",1
"state not found",93
"tennessee",37
"texas",147
"utah",15
"veracruz",1
"virginia",40
"washington",24
"west virginia",13
"wisconsin",9
"wyoming",2
"alaska",0
"hawaii",0
"maine",0
"south dakota",0
"vermont",0
